Ticker symbol,Security,GICS Sector,GICS Sub Industry,Location,Date first added[3][4],CIK,Founded
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/17,1598014,
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,50863,
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",12/5/00,896878,
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",,51434,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",10/1/92,51644,
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/18,1111928,
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",8/29/17,1478242,
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,"Dublin, Ireland",11/17/10,1466258,
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/09,1020569,
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267,
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/17,749251,
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/86,49826,
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208,
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",7/1/15,728535,
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",8/27/10,833444,
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,"Pasadena, California",10/26/07,52988,
JEF,Jefferies Financial Group,Financials,Multi-Sector Holdings,"New York, New York",8/27/07,96223,
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey",6/30/73,200406,1886
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604,1996
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",6/30/75,19617,
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",8/31/86,72333,
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,91576,
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",7/6/15,1637459,
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/06,879101,
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,55785,1872
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,1506307,
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010,
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,1886
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/13,1530721,
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873,1883
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,1962
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/13,54480,
L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,60086,
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/83,701985,
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/05,920760,
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",11/1/04,920148,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1065696,
LLL,L-3 Communications Holdings,Industrials,Aerospace & Defense,"New York, New York",,1056239,1997
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478,1876
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/84,936468,
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,59558,
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667,1904/1946/1959
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/12,707549,
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",7/1/94,92380,
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/12,1489393,
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367,1929
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",7/18/08,1141391,
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/16,912595,
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",5/9/13,912242,
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",6/30/81,62996,
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/82,63276,
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/70,63908,1940
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,827054,
MCK,McKesson Corp.,Health Care,Health Care Distributors,"San Francisco, California",,927653,1833
MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/12,1103982,
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/86,64670,
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219,1868
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/17,789570,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",12/23/13,851968,
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754,1889
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,916076,
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",8/31/87,62709,
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740,1902
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",6/28/12,865752,
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",9/26/11,1285785,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,1510295,
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158,1891
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,101778,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",4/4/18,1408198,
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/94,789019,
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505,1928 (2011)
MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",,36270,1856
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1037646,
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/94,723125,
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",4/23/04,69499,
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",10/8/07,72207,
NCLH,Norwegian Cruise Line,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/17,1513761,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",10/22/08,1120193,
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308,
NEM,Newmont Mining Corporation,Materials,Gold,"Denver, Colorado",6/30/69,1164727,1921
NFLX,Netflix Inc.,Communication Services,Internet Software & Services,"Los Gatos, California",12/20/10,1065280,
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/20/10,912750,
NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,
NKTR,Nektar Therapeutics,Health Care,Pharmaceuticals,"San Francisco, California",3/19/18,906709,
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/9/13,1492633,
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/85,1133421,
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/14/05,1021860,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1/29/10,1013871,
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165,1881/1894 (1980)
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",6/25/99,1002047,
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",4/30/85,73309,
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1045810,
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",4/30/89,814453,
NWS,News Corp. Class B,Consumer Discretionary,Publishing,"New York, New York",9/18/15,1564708,
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,"New York, New York",8/1/13,1564708,
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1039684,
OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",,29989,1986
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",8/31/89,1341439,
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/09,898173,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",12/31/82,797468,
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",,723531,1971
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/08,1378946,
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/80,75362,
PCG,PG&E Corp.,Utilities,Multi-Utilities,"San Francisco, California",,1004980,1905
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",,788784,
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003,1849
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1126328,
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,1837
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,80661,
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/85,76334,
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,822416,
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",7/26/17,75677,
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/85,31791,
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1045609,
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",3/31/08,1413329,
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/88,713676,
PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK",10/1/12,77360,
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879,1883
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",12/19/11,1585364,
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",8/19/05,1393311,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,1534701,
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/13,78239,
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915,
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",7/1/92,884905,
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/08,1038357,
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917,
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,804328,1985
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",6/19/17,1095073,
REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606,
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,872589,
RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213,
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",7/27/09,1087423,
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005,
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/07,1037038,
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819,
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/09,882835,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/09,745732,
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122,1922
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/17,1034054,
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
SCG,SCANA Corp,Utilities,Multi-Utilities,"Cayce, South Carolina",1/2/09,754737,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/97,316709,
SEE,Sealed Air,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",3/19/18,719739,
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419,
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/65,87347,1926
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",3/20/15,1040971,
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",9/30/82,91440,
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",3/16/17,883241,
SO,Southern Co.,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",,64040,
SRCL,Stericycle Inc,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois",11/19/08,861878,
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208,
STI,SunTrust Banks,Financials,Regional Banks,"Atlanta, Georgia",5/31/88,750556,
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/5/05,16918,
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",9/30/82,93556,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/15,4127,
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",3/25/03,849399,
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,96021,
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,732717,1983
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",6/30/76,24545,
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157,
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,27419,
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/00,98246,
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335,
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745,2006
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017
TRIP,TripAdvisor,Communication Services,Internet & Direct Marketing Retail,"Newton, Massachusetts",12/21/11,1526520,
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",8/21/02,86312,
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",1/2/08,721683,
TTWO,Take-Two Interactive,Communication Services,Home Entertainment Software,"New York, New York",3/19/18,946581,
TWTR,"Twitter, Inc.",Communication Services,Internet Software & Services,"San Francisco, California",6/7/18,1418091,2006
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917,
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/16,1336917,
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517,
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568,
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/94,5513,
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,1090727,
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829,
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",12/21/09,1403161,
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2/12/07,203527,
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/79,103379,
VIAB,Viacom Inc.,Communication Services,Cable & Satellite,"New York, New York",,1339947,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",2/1/06,1014473,
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320,
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/83,732712,
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,
WCG,WellCare Health Plans,Health Care,Managed Health Care,"Tampa, Florida",1985,1279363,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/09,106040,
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536,
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169,
WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",,1636023,
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,1851
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/14,1168054,
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",11/8/99,743988,
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/08,818479,
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,1524472,
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",6/22/01,109380,
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/13,1555280,